2022-06-03;GGBR4;0;30,220;100;100335483;10;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;20;1;2022-06-03
2022-06-03;GGBR4;0;30,220;1000;100335483;30;1;2022-06-03
2022-06-03;GGBR4;0;30,220;1000;100335483;40;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;50;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;60;1;2022-06-03
2022-06-03;GGBR4;0;30,220;1000;100335483;70;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;80;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;90;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;100;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;110;1;2022-06-03
2022-06-03;GGBR4;0;30,220;300;100335483;120;1;2022-06-03
2022-06-03;GGBR4;0;30,220;300;100335483;130;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;140;1;2022-06-03
2022-06-03;GGBR4;0;30,220;300;100335483;150;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;160;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;170;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;180;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;190;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;200;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;210;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;220;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;230;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;240;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;250;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;260;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;270;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;280;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;290;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;300;1;2022-06-03
2022-06-03;GGBR4;0;30,220;400;100335483;310;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;320;1;2022-06-03
2022-06-03;GGBR4;0;30,220;500;100335483;330;1;2022-06-03
2022-06-03;GGBR4;0;30,220;300;100335483;340;1;2022-06-03
2022-06-03;GGBR4;0;30,220;900;100335483;350;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;360;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;370;1;2022-06-03
2022-06-03;GGBR4;0;30,220;600;100335483;380;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;390;1;2022-06-03
2022-06-03;GGBR4;0;30,220;600;100335483;400;1;2022-06-03
2022-06-03;GGBR4;0;30,220;300;100335483;410;1;2022-06-03
2022-06-03;GGBR4;0;30,220;400;100335483;420;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;430;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;440;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;450;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;460;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;470;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;480;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;490;1;2022-06-03
2022-06-03;GGBR4;0;30,220;200;100335483;500;1;2022-06-03
2022-06-03;GGBR4;0;30,220;300;100335483;510;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;520;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;530;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335483;540;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100335637;550;1;2022-06-03
2022-06-03;GGBR4;0;30,200;100;100338043;560;1;2022-06-03
2022-06-03;GGBR4;0;30,200;100;100338043;570;1;2022-06-03
2022-06-03;GGBR4;0;30,190;200;100338043;580;1;2022-06-03
2022-06-03;GGBR4;0;30,190;200;100338043;590;1;2022-06-03
2022-06-03;GGBR4;0;30,220;1500;100339687;600;1;2022-06-03
2022-06-03;GGBR4;0;30,220;1000;100340567;610;1;2022-06-03
2022-06-03;GGBR4;0;30,240;100;100345250;620;1;2022-06-03
2022-06-03;GGBR4;0;30,230;100;100345253;630;1;2022-06-03
2022-06-03;GGBR4;0;30,230;300;100345253;640;1;2022-06-03
2022-06-03;GGBR4;0;30,230;100;100346200;650;1;2022-06-03
2022-06-03;GGBR4;0;30,230;100;100346200;660;1;2022-06-03
2022-06-03;GGBR4;0;30,230;100;100346200;670;1;2022-06-03
2022-06-03;GGBR4;0;30,220;100;100346200;680;1;2022-06-03
2022-06-03;GGBR4;0;30,210;100;100346200;690;1;2022-06-03
2022-06-03;GGBR4;0;30,200;100;100348627;700;1;2022-06-03
2022-06-03;GGBR4;0;30,200;100;100349323;710;1;2022-06-03
2022-06-03;GGBR4;0;30,200;900;100349323;720;1;2022-06-03
2022-06-03;GGBR4;0;30,200;100;100349323;730;1;2022-06-03
2022-06-03;GGBR4;0;30,190;900;100349323;740;1;2022-06-03
2022-06-03;GGBR4;0;30,190;300;100350637;750;1;2022-06-03
2022-06-03;GGBR4;0;30,190;100;100350723;760;1;2022-06-03
2022-06-03;GGBR4;0;30,190;100;100350723;770;1;2022-06-03
