RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2022-06-21;LUPA3;LUPA;LUPA;CASH;EQUITY-CASH;SHARES;;;2021-03-09;9999-12-31;;;;;BRLUPAACNOR8;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;109;1;2;;;;ON      NM;LUPATECH S.A.                 ;9999-12-31;FUNGIBLE;29211160;NOVO MERCADO
2022-06-21;LUXM3;LUXM;LUXM;CASH;EQUITY-CASH;SHARES;;;2022-04-29;9999-12-31;;;;;BRLUXMACNOR7;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;50;1;2;;;;ON        ;TREVISA INVESTIMENTOS S.A.    ;9999-12-31;FUNGIBLE;2298000;
2022-06-21;LUXM4;LUXM;LUXM;CASH;EQUITY-CASH;SHARES;;;2022-04-29;9999-12-31;;;;;BRLUXMACNPR4;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;50;1;2;;;;PN        ;TREVISA INVESTIMENTOS S.A.    ;9999-12-31;FUNGIBLE;2898000;
2022-06-21;LVTC3;LVTC;LVTC;CASH;EQUITY-CASH;SHARES;;;2022-05-02;9999-12-31;;;;;BRLVTCACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;ON      NM;LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A;9999-12-31;FUNGIBLE;64663063;NOVO MERCADO
2022-06-21;LWSA3;LWSA;LWSA;CASH;EQUITY-CASH;SHARES;;;2021-02-01;9999-12-31;;;;;BRLWSAACNOR8;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;LOCAWEB SERVI�OS DE INTERNET S.A.;9999-12-31;FUNGIBLE;590247368;NOVO MERCADO
2022-06-21;MAPT3;MAPT;MAPT;CASH;EQUITY-CASH;SHARES;;;2015-12-28;9999-12-31;;;;;BRMAPTACNOR8;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;106;1;2;;;;ON        ;CEMEPE INVESTIMENTOS S.A.     ;9999-12-31;FUNGIBLE;454455;
2022-06-21;MAPT4;MAPT;MAPT;CASH;EQUITY-CASH;SHARES;;;2015-12-28;9999-12-31;;;;;BRMAPTACNPR5;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;106;1;2;;;;PN        ;CEMEPE INVESTIMENTOS S.A.     ;9999-12-31;FUNGIBLE;464440;
2022-06-21;MAQN3;MAQN;MAQN;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMAQNACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;MAQUINA DE VENDAS BRASIL PARTICIPA��ES S.A.;9999-12-31;FUNGIBLE;73062830;
2022-06-21;MAQN4;MAQN;MAQN;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRMAQNACNPR6;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;PN;MAQUINA DE VENDAS BRASIL PARTICIPA��ES S.A.;9999-12-31;FUNGIBLE;73062830;
2022-06-21;MATD3;MATD;MATD;CASH;EQUITY-CASH;SHARES;;;2022-05-02;9999-12-31;;;;;BRMATDACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;HOSPITAL MATER DEI S/A        ;9999-12-31;FUNGIBLE;382329821;NOVO MERCADO
